,3nd_neighbor
0,5979
1,19732
2,12953
3,10841
4,4807
5,19282
6,28794
7,20024
8,19622
9,333
10,3240
11,2566
12,5611
13,5354
14,18846
15,67
16,7074
17,5058
18,14787
19,3262
20,22038
21,3525
22,5285
23,26325
24,27660
25,27016
26,24061
27,3197
28,1431
29,2060
30,1215
31,13562
32,3140
33,21654
34,9397
35,28292
36,10783
37,11846
38,17331
39,22406
40,3695
41,7070
42,27902
43,16204
44,8080
45,129
46,1901
47,9876
48,21505
49,5183
50,25756
51,17410
52,20749
53,8120
54,27705
55,5172
56,18573
57,2242
58,24074
59,5945
60,19973
61,25198
62,1213
63,24759
64,22921
65,5496
66,9336
67,5615
68,15822
69,3080
70,3003
71,15003
72,27748
73,23441
74,4173
75,26778
76,3
77,14573
78,24318
79,5575
80,20129
81,8060
82,21898
83,28063
84,20248
85,3416
86,24705
87,23912
88,6149
89,17595
90,2780
91,20329
92,8346
93,25666
94,688
95,16300
96,19180
97,20967
98,12912
99,27816
100,1991
101,4833
102,28313
103,19261
104,7231
105,10719
106,10481
107,9725
108,3406
109,26653
110,23970
111,15912
112,8245
113,12738
114,3381
115,26957
116,18311
117,1330
118,25
119,19705
120,17295
121,13315
122,10736
123,3275
124,4113
125,19270
126,26806
127,17811
128,11461
129,28422
130,15544
131,2039
132,26826
133,1421
134,22376
135,648
136,27752
137,592
138,1013
139,26426
140,29055
141,8773
142,19593
143,3616
144,13081
145,2739
146,28175
147,4212
148,4770
149,5195
150,22045
151,8587
152,5085
153,4595
154,18451
155,5535
156,1534
157,8663
158,1045
159,5626
160,13675
161,4866
162,26717
163,3559
164,8539
165,20047
166,13247
167,1931
168,21308
169,989
170,10809
171,3447
172,8058
173,24388
174,23657
175,26877
176,13292
177,18869
178,4599
179,14425
180,28701
181,24764
182,3823
183,17853
184,23604
185,13436
186,4378
187,20303
188,15970
189,8478
190,24159
191,11778
192,28901
193,1512
194,4898
195,6408
196,2415
197,3803
198,10013
199,17006
200,9898
201,16332
202,13745
203,17439
204,9604
205,24144
206,10733
207,15715
208,22371
209,4738
210,19343
211,2708
212,243
213,4060
214,17065
215,6434
216,2677
217,14365
218,6722
219,5635
220,4437
221,10616
222,20193
223,4846
224,23456
225,22513
226,9679
227,24755
228,1734
229,8775
230,23751
231,3670
232,21343
233,27515
234,18202
235,14920
236,10248
237,4630
238,5155
239,2524
240,9713
241,20712
242,4191
243,2899
244,22380
245,4191
246,21442
247,17545
248,5989
249,21502
250,9176
251,16753
252,4451
253,4113
254,17157
255,1299
256,4359
257,25700
258,27421
259,5812
260,26950
261,15705
262,111
263,13833
264,21706
265,12366
266,13998
267,13164
268,6344
269,23405
270,13052
271,11126
272,87
273,13736
274,28852
275,14575
276,10456
277,23053
278,4276
279,1588
280,14653
281,23428
282,5290
283,3630
284,21244
285,1295
286,2120
287,4221
288,18414
289,173
290,578
291,11920
292,12822
293,10237
294,4706
295,20124
296,4686
297,21486
298,706
299,25690
300,27918
301,14410
302,11565
303,10436
304,25876
305,19640
306,5158
307,27569
308,12436
309,3075
310,886
311,20959
312,24703
313,1615
314,3468
315,16573
316,2678
317,986
318,12805
319,15707
320,13665
321,13141
322,20957
323,11687
324,4525
325,16464
326,5987
327,5163
328,22037
329,1961
330,22394
331,15656
332,1804
333,9323
334,23332
335,663
336,15672
337,26894
338,3120
339,6337
340,6493
341,21356
342,25829
343,13258
344,6431
345,1639
346,23892
347,4131
348,25775
349,9583
350,13492
351,28017
352,6577
353,23849
354,21312
355,20167
356,8177
357,19307
358,4268
359,10193
360,341
361,15362
362,25006
363,27784
364,5620
365,9844
366,21404
367,6634
368,5575
369,4571
370,3332
371,13428
372,11406
373,27668
374,2604
375,28590
376,19993
377,18256
378,19608
379,19724
380,4285
381,5922
382,25513
383,273
384,2490
385,26131
386,17006
387,21252
388,3957
389,17321
390,13320
391,23807
392,27264
393,27387
394,22010
395,10652
396,1197
397,18036
398,5589
399,24775
400,6591
401,28150
402,6782
403,27621
404,6034
405,20498
406,4230
407,14661
408,24132
409,6490
410,28120
411,14643
412,8062
413,1783
414,11035
415,16202
416,2459
417,9547
418,11063
419,23232
420,6002
421,4216
422,14265
423,9174
424,23149
425,23145
426,7239
427,21327
428,21827
429,20896
430,8066
431,21297
432,25400
433,26401
434,3273
435,3687
436,28898
437,14940
438,8740
439,1904
440,23546
441,23809
442,13984
443,3034
444,3166
445,15921
446,26687
447,6258
448,22228
449,4038
450,5598
451,3743
452,255
453,24056
454,22524
455,5133
456,928
457,23256
458,3284
459,4058
460,945
461,4241
462,17654
463,27689
464,21992
465,13956
466,3751
467,2916
468,22067
469,24865
470,2723
471,27210
472,4346
473,1405
474,3505
475,14429
476,20809
477,4513
478,3913
479,5290
480,3484
481,2059
482,4998
483,6378
484,21720
485,22153
486,10265
487,4366
488,18268
489,23507
490,6097
491,23819
492,5851
493,3449
494,20374
495,24783
496,6215
497,23529
498,23950
