,3nd_neighbor
0,526
1,1587
2,22780
3,3223
4,11210
5,25821
6,21066
7,486
8,25703
9,24120
10,2015
11,23936
12,23261
13,7262
14,5145
15,4550
16,14529
17,2657
18,13321
19,16630
20,16472
21,8415
22,10524
23,3881
24,5085
25,8596
26,27678
27,26617
28,4760
29,10736
30,14831
31,7208
32,19819
33,25378
34,2374
35,1697
36,17654
37,19918
38,4667
39,5938
40,13180
41,19264
42,21229
43,20066
44,333
45,9656
46,25398
47,27341
48,6034
49,1893
50,5220
51,14533
52,25042
53,20499
54,18101
55,2242
56,1505
57,25698
58,27960
59,3964
60,5997
61,9026
62,3537
63,1697
64,18295
65,15774
66,6664
67,4639
68,4247
69,11967
70,14123
71,1175
72,4338
73,5328
74,1830
75,6006
76,23645
77,2733
78,25861
79,16126
80,1060
81,19271
82,3688
83,15765
84,27203
85,17415
86,26095
87,7781
88,20579
89,28062
90,13722
91,10144
92,5873
93,2661
94,8994
95,20659
96,11441
97,16481
98,29022
99,26197
100,2903
101,18044
102,18462
103,15090
104,16162
105,17539
106,24972
107,5538
108,3564
109,8882
110,126
111,324
112,9940
113,26265
114,11080
115,12788
116,20803
117,18302
118,4179
119,3054
120,5095
121,21633
122,26015
123,8877
124,1785
125,14029
126,17466
127,16733
128,2550
129,7623
130,24026
131,900
132,10316
133,21967
134,22045
135,24821
136,16898
137,9713
138,20680
139,4191
140,5717
141,9134
142,6980
143,4033
144,546
145,1466
146,21679
147,16962
148,1718
149,12436
150,26933
151,14290
152,11177
153,10311
154,25631
155,2869
156,21836
157,16557
158,22300
159,254
160,6332
161,22885
162,5072
163,7208
164,12732
165,27665
166,5280
167,4011
168,6831
169,27972
170,2227
171,5745
172,1487
173,21001
174,27639
175,17852
176,1715
177,2941
178,1648
179,14824
180,8286
181,3514
182,18054
183,21603
184,17449
185,2016
186,17205
187,4578
188,12870
189,15385
190,24159
191,26823
192,21996
193,3023
194,18756
195,19933
196,560
197,8975
198,4226
199,6859
200,26188
201,28385
202,13835
203,4709
204,27302
205,16731
206,22791
207,3782
208,27191
209,2441
210,16744
211,9102
212,276
213,24193
214,24180
215,1790
216,19871
217,10355
218,2287
219,3500
220,18320
221,28432
222,4279
223,23347
224,12089
225,10969
226,27611
227,4152
228,5834
229,27923
230,7190
231,4457
232,5945
233,20252
234,19041
235,12314
236,5911
237,771
238,5181
239,22658
240,8961
241,19878
242,5517
243,8495
244,11908
245,9631
246,23113
247,17005
248,21794
249,27154
250,598
251,27280
252,2848
253,8455
254,19777
255,18688
256,13354
257,3774
258,19071
259,20701
260,19110
261,1943
262,15415
263,18496
264,3039
265,9964
266,22836
267,6947
268,7499
269,17153
270,7027
271,2889
272,2676
273,17345
274,1032
275,19224
276,27618
277,18570
278,8028
279,5131
280,5396
281,13086
282,18077
283,3093
284,19313
285,12349
286,26950
287,14079
288,1798
289,17727
290,4533
291,24728
292,22277
293,2726
294,21054
295,2004
296,21789
297,183
298,17537
299,4998
300,3975
301,19153
302,21783
303,3475
304,7774
305,9559
306,12045
307,3680
308,9405
309,1023
310,2083
311,19835
312,17942
313,25823
314,11377
315,10762
316,23913
317,20825
318,22779
319,16999
320,6309
321,6437
322,19965
323,8718
324,22529
325,6129
326,22492
327,4399
328,6131
329,13673
330,10961
331,11682
332,5600
333,24832
334,387
335,17330
336,16874
337,4976
338,18123
339,16131
340,26351
341,24101
342,8661
343,19835
344,5570
345,4826
346,26768
347,13591
348,3755
349,11771
350,22662
351,11056
352,21989
353,5251
354,22326
355,16846
356,201
357,9072
358,6108
359,19143
360,25621
361,24877
362,22230
363,8674
364,13468
365,20499
366,2708
367,4319
368,28817
369,2357
370,4397
371,1225
372,10190
373,17610
374,28604
375,14557
376,4683
377,7144
378,11443
379,12925
380,16117
381,6020
382,20250
383,2671
384,2153
385,26531
386,25550
387,10122
388,4654
389,14147
390,24720
391,23791
392,23048
393,11317
394,14058
395,14434
396,1480
397,5338
398,4837
399,27054
400,1421
401,5260
402,28556
403,11184
404,18442
405,19763
406,19736
407,28582
