,3nd_neighbor
0,52248
1,48128
2,2460
3,65130
4,34665
5,6614
6,63100
7,55510
8,21769
9,31656
10,27082
11,46639
12,50900
13,65926
14,39925
15,29046
16,47026
17,48723
18,31428
19,20543
20,42676
21,51605
22,59445
23,55962
24,13366
25,57569
26,42637
27,31015
28,2912
29,4002
30,22846
31,67990
32,22291
33,59720
34,36618
35,43845
36,15402
37,12293
38,19623
39,33834
40,59632
41,45201
42,37095
43,36314
44,3187
45,29616
46,40098
47,14367
48,59686
49,61510
50,53982
51,44851
52,29069
53,64419
54,2427
55,56017
56,54045
57,67685
58,42044
59,41338
60,63674
61,51897
62,15025
63,17733
64,26705
65,62437
66,704
67,63518
68,66105
69,17985
70,21954
71,41761
72,1231
73,60898
74,48709
75,52955
76,3221
77,41305
78,14301
79,41062
80,41702
81,16091
82,64687
83,17186
84,63819
85,64177
86,3717
87,59704
88,20751
89,22899
90,11886
91,55465
92,8511
93,61647
94,61565
95,16695
96,32609
97,21049
98,50156
99,54191
100,48173
101,48042
102,27431
103,52655
104,25629
105,67383
106,3748
107,5204
108,6809
109,59070
110,63815
111,49147
112,61227
113,49082
114,2531
115,48442
116,46576
117,4280
118,56192
119,60277
120,25640
121,16076
122,32396
123,57442
124,14614
125,36056
126,23190
127,39530
128,23304
129,5780
130,63469
131,32628
132,21568
133,23977
134,29804
135,56439
136,59821
137,2567
138,62046
139,17926
140,822
141,9691
142,31559
143,2047
144,17094
145,4945
146,15828
147,45521
148,40637
149,39586
150,4345
151,5791
152,41684
153,21200
154,2100
155,41185
156,66785
157,15773
158,2245
159,38774
160,6826
161,36083
162,62025
163,45613
164,1789
165,13122
166,60055
167,42242
168,5323
169,35640
170,53314
171,40991
172,62674
173,1294
174,66746
175,51095
176,9989
177,53472
178,40478
179,53627
180,39881
181,26507
182,133
183,10885
184,4385
185,61194
186,29749
187,9002
188,15681
189,29357
190,61264
191,58632
192,10179
193,25046
194,49082
195,1125
196,53536
197,5365
198,973
199,65162
200,21409
201,56995
202,1726
203,32995
204,21247
205,41753
206,12705
207,1201
208,7392
209,7156
210,63176
211,53570
212,44975
213,66166
214,17022
215,34831
216,66744
217,862
218,45660
219,12694
220,47271
221,55313
222,19739
223,35087
224,12204
225,14047
226,51992
227,32117
228,58147
229,3221
230,20680
231,5201
232,22550
233,37807
234,751
235,59923
236,13328
237,66453
238,31835
239,9055
240,13649
241,17713
242,64127
243,24412
244,1956
245,63065
246,62923
247,40166
248,11332
249,69126
250,42933
251,15859
252,13204
253,19271
254,21680
255,47472
256,35289
257,9359
258,7048
259,39779
260,4559
261,67700
262,18519
263,33032
264,54464
265,67509
266,8568
267,59161
268,7370
269,38380
270,53828
271,57920
272,37226
273,10786
274,46869
275,58372
276,15457
277,16291
278,6433
279,44763
280,12462
281,43617
282,23477
283,32665
284,18171
285,55220
286,24226
287,4406
288,41426
289,50350
290,10079
291,12554
292,56654
293,45395
294,60252
